source_name,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
,"İsrail medyasından analiz : Türkiye öncülüğündeki ittifak , İsraili tedirgin etti",,https://www.ensonhaber.com/dunya/israil-medyasindan-analiz-turkiye-onculugundeki-ittifak-israili-tedirgin-etti,2026-03-29 22:00:00,2026-04-23T09:32:43.385061+00:00,Turkey,geopolitics,ensonhaber.com,Turkish,https://imgcdn.ensonhaber.com/media/esh/2026/03/29/69c990942ca86644.jpg,GDELT
,İsrailin  asıl korkması gereken senaryo  gerçek oluyor : Türkiye öncülüğünde yeni ittifak,,https://www.haber7.com/dunya/haber/3615827-israilin-asil-korkmasi-gereken-senaryo-gercek-oluyor-turkiye-onculugunde-yeni-ittifak,2026-03-29 20:00:00,2026-04-23T09:32:43.385061+00:00,Turkey,geopolitics,haber7.com,Turkish,https://i20.haber7.net/resize/1280x720/haber/haber7/bigmanset/2026/13/israilin_asil_korkmasi_gereken_senaryo_gercek_oluyor_turkiye_onculugunde_yeni_ittifak_1774811993_6355.jpg,GDELT
,پاک فلسطین فورم 29 مارچ کو کراچی سے غزہ تک پرامن مارچ کرے گا ، غزہ میں انسانی بحران پر تشویشناک ہے : مشتاق احمد خان,,https://dailyaaj.com.pk/news/149128,2026-03-14 13:15:00,2026-04-23T09:32:43.385061+00:00,Pakistan,geopolitics,dailyaaj.com.pk,Urdu,https://dailyaaj.com.pk/uploads/9b9ab39485bb24edaab493a2d7ce8ca0.jpeg,GDELT
,غزہ امن بورڈ اجلاس - ایکسپریس اردو,,https://www.express.pk/story/2802401/gaza-aman-board-ijlas-2802401,2026-02-26 22:30:00,2026-04-23T09:32:43.385061+00:00,Pakistan,geopolitics,express.pk,Urdu,https://img.express.pk/media/images/2720842-mjgohar-1728414445/2720842-mjgohar-1728414445-600x450.webp,GDELT
,خطے میں تبدیلیوں سے پاکستان اور ایران مزید قریب آئے ، ایرانی سفیر,,https://jang.com.pk/news/1559546,2026-02-24 13:30:00,2026-04-23T09:32:43.385061+00:00,Pakistan,geopolitics,jang.com.pk,Urdu,https://jang.com.pk/assets/uploads/updates/2026-02-24/1559546_060538_updates.jpg,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒 _ 凤凰网,,https://mil.ifeng.com/c/8qxETmSp1vM,2026-02-24 01:00:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,mil.ifeng.com,Chinese,https://x0.ifengimg.com/ucms/2026_09/E6EF90A7E8AC427E19E1B70192B4BBF3DCEACC23_size139_w975_h549.jpg,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,,https://baijiahao.baidu.com/s?id=1857813657508592152,2026-02-23 10:45:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,,https://baijiahao.baidu.com/s?id=1857816931109915781,2026-02-23 10:15:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,多个阿拉伯和伊斯兰国家及国际组织发表联合声明谴责美驻以大使有关言论,,https://baijiahao.baidu.com/s?id=1857826110313191246,2026-02-23 04:00:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,,https://baijiahao.baidu.com/s?id=1857822180054162523,2026-02-22 16:15:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,baijiahao.baidu.com,Chinese,,GDELT
,多个阿拉伯和伊斯兰国家及国际组织发表联合声明谴责美驻以大使有关言论 - 新华网,,https://www.news.cn/world/20260222/763eda9b745a41008222c402916f2e9f/c.html,2026-02-22 14:15:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.cn,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒,,https://news.ycwb.com/ikimvkitii/content_53974605.htm,2026-02-22 14:00:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.ycwb.com,Chinese,https://news.ycwb.com/pic/2026-02/22/53974605_9168d4d3-946a-4458-b8d8-0f3c14e102e1.png,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒 -- 国际 -- 人民网,,http://world.people.com.cn/n1/2026/0222/c1002-40668414.html,2026-02-22 12:30:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,world.people.com.cn,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒|以色列|中东,,https://news.sina.com.cn/w/2026-02-22/doc-inhnsuhe3753959.shtml,2026-02-22 11:30:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.sina.com.cn,Chinese,http://n.sinaimg.cn/spider20260222/246/w610h436/20260222/0d08-44000739ecd38fa75ad5c98e03209f7e.png,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒 - 新华网,,https://www.news.cn/world/20260222/c3fb86ba717c4361957bf5e693711d41/c.html,2026-02-22 11:15:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.cn,Chinese,,GDELT
,美国大使所谓  以色列可拿下整个中东  言论惹众怒 _ 中国网,,http://news.china.com.cn/2026-02/22/content_118341393.shtml,2026-02-22 10:30:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.china.com.cn,Chinese,,GDELT
,美大使稱以色列可占全中東 阿拉伯國家同聲撻伐 | 國際,,https://www.cna.com.tw/news/aopl/202602220101.aspx,2026-02-22 08:45:00,2026-04-23T09:32:43.385061+00:00,Taiwan,geopolitics,cna.com.tw,Chinese,,GDELT
,BBP Liderinden İsraile Sert Tepki,,https://www.haberler.com/politika/mustafa-destici-israil-bati-seria-ya-goz-dikti-19573186-haberi/,2026-02-16 22:15:00,2026-04-23T09:32:43.385061+00:00,Turkey,geopolitics,haberler.com,Turkish,,GDELT
,"DESTİCİ : TÜRKİYE SESSİZ KALMADI , DİĞERLERİ DE KALMASIN",,http://www.haberler.com/politika/destici-turkiye-sessiz-kalmadi-diger-ulkeler-de-kalmasin-19573280-haberi/,2026-02-16 15:15:00,2026-04-23T09:32:43.385061+00:00,Turkey,geopolitics,haberler.com,Turkish,,GDELT
,BBP Liderinden İsraile Sert Tepki,,http://www.haberler.com/politika/mustafa-destici-israil-bati-seria-ya-goz-dikti-19573186-haberi/,2026-02-16 15:00:00,2026-04-23T09:32:43.385061+00:00,Turkey,geopolitics,haberler.com,Turkish,,GDELT
,以色列 ， 发动空袭 ！ 金价震荡,,https://www.nbd.com.cn/articles/2026-02-16/4263832.html,2026-02-16 04:00:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,nbd.com.cn,Chinese,,GDELT
,以色列又要打一场仗吗 八国谴责领土扩张 _ 军事频道 _ 中华网,,https://military.china.com/news/13004177/20260214/49252608.html,2026-02-14 08:15:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,military.china.com,Chinese,,GDELT
,哈马斯与伊朗在多哈会谈 国际社会持续谴责以色列加强控制约旦河西岸 - 大河网,,https://news.dahe.cn/2026/02-12/2054933.html,2026-02-12 11:45:00,2026-04-23T09:32:43.385061+00:00,China,geopolitics,news.dahe.cn,Chinese,,GDELT
,（ 中通論壇 ） 訪美前加強對西岸控制 學者 ： 以色列試探意味明顯 | 頭條,,https://www.hkcna.hk/docDetail.jsp?id=101240344&channel=2803,2026-02-10 14:00:00,2026-04-23T09:32:43.385061+00:00,Hong Kong,geopolitics,hkcna.hk,Chinese,,GDELT
,納坦雅胡不開心 ! 8國聯合聲明＋英國也表態 川普說話了 ..... | 國際,,https://newtalk.tw/news/view/2026-02-10/1019513,2026-02-10 03:30:00,2026-04-23T09:32:43.385061+00:00,Taiwan,geopolitics,newtalk.tw,Chinese,https://s.newtalk.tw/album/news/1013/69538b387721c.jpg,GDELT
,Trump BOP : Pseudo - legitimacy for illegitimate occupations,,https://www.ft.lk/opinion/Trump-s-BOP-Pseudo-legitimacy-for-illegitimate-occupations/14-787909,2026-02-04 23:30:00,2026-04-23T09:32:43.385061+00:00,Sri Lanka,geopolitics,ft.lk,English,https://bmkltsly13vb.compat.objectstorage.ap-mumbai-1.oraclecloud.com/cdn.ft.lk/assets/uploads/image_db644c13d0.jpg,GDELT
,Pakistan quiet abandonment of Palestine,,https://dailypioneer.com/news/pakistan-s-quiet-abandonment-of-palestine,2026-02-03 19:30:00,2026-04-23T09:32:43.385061+00:00,India,geopolitics,dailypioneer.com,English,https://dailypioneer.com/uploads/2026/story/images/big/pakistan---s-quiet-abandonment-of-palestine-2026-02-04.jpg,GDELT
,Israel ceasefire violations part of  80 - year policy of colonial genocide  in Palestine : Iran,,https://www.globalsecurity.org/military/library/news/2026/02/mil-260201-presstv03.htm,2026-02-02 11:45:00,2026-04-23T09:32:43.385061+00:00,Syria,geopolitics,globalsecurity.org,English,,GDELT
,ایران اور امریکا کے درمیان کشیدگی ختم کرنے کیلیے پاکستان کی سفارتی کوششیں شروع,,https://www.express.pk/story/2798605/pakistan-begins-diplomatic-efforts-to-end-tensions-between-iran-and-the-us-2798605,2026-01-29 23:30:00,2026-04-23T09:32:43.385061+00:00,Pakistan,geopolitics,express.pk,Urdu,https://img.express.pk/media/images/pakistan-begins-diplomatic-efforts1769726460-0/pakistan-begins-diplomatic-efforts1769726460-0-600x450.webp,GDELT
,دفتر خارجہ نے ایمان مزاری کیس میں جج کے ایران سے متعلق ریمارکس کو ذاتی رائے قرار دے دیا,,https://www.express.pk/story/2798494/foreign-office-calls-judges-remarks-on-iran-in-iman-mazari-case-personal-opinion-2798494,2026-01-29 10:00:00,2026-04-23T09:32:43.385061+00:00,Pakistan,geopolitics,express.pk,Urdu,https://img.express.pk/media/images/2706881-foreignofficepakistan-1726600803/2706881-foreignofficepakistan-1726600803-600x450.webp,GDELT
Google News,Oil price soars to highest level since 2022 as US-Iran impasse shows no sign of resolution - The Guardian,,https://news.google.com/rss/articles/CBMitAFBVV95cUxOdW5OMHhKMTZRcWVCZ2NNQWJmWWl6d2VvSkhoOEZWeXFNQTRFSkN5MHNaV3BXV0ZEempTdW9LUEtSWE5PVm5PNVIwbWw3V2JqSjJiUG9fMXB5NmRRellNcXZYdFpKblMtNWxfUlU2My1ZcmtkNEdodV8wdmdNdGtpak5EU2JOSlJoTzFPd3l2cTg1ZTBmTkRYQkpscmpsOUdWNmNOZ2dnQUZoM2VDREpxak1QY0k?oc=5,2026-04-30 03:22:00,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,US charges Mexican governor and other leaders with aiding drug cartel - BBC,,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1ZX3owUVZvV3BFazNmWnp5U1dBa0UwUW9vQXRGWTREc3dRelRhUW1ra0o0Qi1fUTBjZTI2MEVLNkc5MjYtMU4xLWM5bGxvLWNEdmZfRGNFdVU1QQ?oc=5,2026-04-30 03:20:04,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,"Orlando Magic vs. Detroit Pistons Live Score and Stats - April 29, 2026 Gametracker - CBS Sports",,https://news.google.com/rss/articles/CBMieEFVX3lxTE5kMWZWNUhpZDV3bXFuRU9NOG5EeVFiZ2Y5NnBWamlWNGRjaldDSm11d2wtVGpjajBSNWVHdkRBSjN2SGhzQ1k0aVBiNnRQRHJ0ZnJub1FrZktBc0xpMHRUR1JTUEczN3h3YlhvYXVjU1hkWlJIalhzQQ?oc=5,2026-04-30 03:09:22,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
